# milliseconds,radio_intensity
2782.12,-0.16
2786.57,0.58
2791.03,0.88
2795.49,0.65
2799.95,0.72
2804.41,0.65
2808.87,0.02
2813.33,0.04
2817.78,-0.53
2822.24,-1.00
2826.70,-1.35
2831.16,-1.25
2835.62,-1.25
2840.08,-0.55
2844.54,-0.73
2848.99,-0.28
2853.45,-0.33
2857.91,-0.46
2862.37,0.02
2866.83,0.30
2871.29,0.09
2875.74,0.00
2880.20,-0.18
2884.66,-0.17
2889.12,-0.16
2893.58,-0.04
2898.04,0.04
2902.50,-0.03
2906.95,0.20
2911.41,-0.05
2915.87,-0.28
2920.33,-0.38
2924.79,0.11
2929.25,-0.22
2933.71,-0.10
2938.16,-0.27
2942.62,-0.41
2947.08,-0.35
2951.54,-0.31
2956.00,-0.04
2960.46,0.19
2964.92,0.14
2969.37,0.14
2973.83,0.22
2978.29,0.40
2982.75,0.60
2987.21,0.32
2991.67,0.18
2996.12,0.43
3000.58,0.43
3005.04,0.52
3009.50,0.25
3013.96,0.19
3018.42,0.67
3022.88,0.93
3027.33,1.48
3031.79,1.53
3036.25,1.83
3040.71,1.94
3045.17,2.29
3049.63,2.22
3054.09,2.28
3058.54,3.06
3063.00,3.23
3067.46,3.66
3071.92,3.98
3076.38,4.42
3080.84,5.09
3085.30,4.99
3089.75,5.47
3094.21,6.14
3098.67,6.33
3103.13,6.52
3107.59,6.96
3112.05,7.26
3116.50,7.12
3120.96,7.01
3125.42,6.93
3129.88,6.94
3134.34,7.23
3138.80,7.19
3143.26,8.77
3147.71,10.49
3152.17,11.72
3156.63,13.16
3161.09,14.88
3165.55,16.91
3170.01,18.23
3174.47,19.10
3178.92,20.04
3183.38,20.60
3187.84,22.76
3192.30,25.66
3196.76,28.43
3201.22,28.46
3205.68,28.61
3210.13,27.12
3214.59,25.79
3219.05,23.69
3223.51,21.82
3227.97,19.80
3232.43,18.24
3236.88,16.40
3241.34,14.43
3245.80,13.95
3250.26,13.86
3254.72,12.95
3259.18,12.74
3263.64,11.90
3268.09,11.79
3272.55,12.31
3277.01,12.39
3281.47,12.64
3285.93,13.72
3290.39,13.69
3294.85,14.19
3299.30,13.83
3303.76,13.94
3308.22,15.33
3312.68,16.02
3317.14,17.06
3321.60,17.60
3326.06,17.45
3330.51,17.27
3334.97,17.60
3339.43,17.43
3343.89,17.82
3348.35,18.61
3352.81,19.29
3357.26,19.67
3361.72,19.26
3366.18,19.03
3370.64,18.08
3375.10,17.58
3379.56,16.68
3384.02,15.46
3388.47,14.41
3392.93,13.23
3397.39,12.05
3401.85,10.93
3406.31,10.37
3410.77,9.85
3415.23,9.38
3419.68,8.79
3424.14,8.29
3428.60,7.51
3433.06,7.45
3437.52,6.86
3441.98,6.36
3446.44,6.15
3450.89,5.26
3455.35,5.20
3459.81,4.35
3464.27,4.09
3468.73,4.09
3473.19,4.56
3477.64,4.75
3482.10,4.50
3486.56,4.45
3491.02,4.60
3495.48,4.76
3499.94,4.92
3504.40,4.85
3508.85,4.79
3513.31,4.77
3517.77,4.99
3522.23,4.87
3526.69,4.62
3531.15,4.96
3535.61,4.88
3540.06,4.94
3544.52,4.95
3548.98,4.05
3553.44,3.86
3557.90,3.11
3562.36,2.77
3566.82,3.55
3571.27,3.89
3575.73,4.20
3580.19,3.68
3584.65,3.09
3589.11,2.55
3593.57,2.55
3598.02,2.22
3602.48,2.26
3606.94,2.43
3611.40,2.68
3615.86,2.28
3620.32,1.53
3624.78,1.60
3629.23,1.00
3633.69,0.74
3638.15,-0.13
3642.61,-0.33
3647.07,-0.31
3651.53,-0.10
3655.99,-0.23
3660.44,-0.15
3664.90,-0.40
3669.36,0.01
3673.82,-0.15
3678.28,-0.12
3682.74,-0.18
3687.20,-0.09
3691.65,-0.60
3696.11,-0.34
3700.57,-0.27
3705.03,-0.17
3709.49,-0.62
3713.95,-0.29
3718.40,-0.38
3722.86,-0.62
3727.32,-0.48
3731.78,-0.47
3736.24,-0.45
3740.70,-0.61
3745.16,-0.68
3749.61,-0.54
3754.07,-0.54
3758.53,-0.48
3762.99,-0.63
3767.45,-0.40
3771.91,-0.58
3776.37,-0.93
3780.82,-0.80
3785.28,-0.75
3789.74,-0.50
3794.20,-0.87
3798.66,-0.59
3803.12,-0.59
3807.58,-0.50
3812.03,-0.37
3816.49,-0.37
3820.95,-0.35
3825.41,-0.81
3829.87,-0.57
3834.33,-0.50
3838.78,-0.27
3843.24,-0.51
3847.70,-0.47
3852.16,-0.68
3856.62,-0.49
3861.08,-0.33
3865.54,-0.18
3869.99,-0.17
3874.45,-0.21
3878.91,-0.18
3883.37,-0.16
3887.83,-0.11
3892.29,-0.40
3896.75,-0.49
3901.20,-0.24
3905.66,-0.51
3910.12,-0.49
3914.58,-0.10
3919.04,-0.10
3923.50,0.02
3927.96,-0.28
3932.41,-0.17
3936.87,-0.03
3941.33,-0.50
3945.79,0.00
3950.25,0.08
3954.71,0.10
3959.16,-0.29
3963.62,-0.33
3968.08,-0.29
3972.54,0.16
3977.00,0.83
3981.46,0.99
3985.92,1.28
3990.37,0.11
3994.83,-0.77
3999.29,-0.88
4003.75,-0.45
4008.21,-1.01
4012.67,-1.09
4017.13,-0.85
4021.58,-0.72
4026.04,-0.74
4030.50,-0.26
4034.96,-0.04
4039.42,-0.19
4043.88,0.18
4048.34,0.03
4052.79,0.19
4057.25,0.14
4061.71,-0.26
4066.17,-0.19
4070.63,-0.48
4075.09,-0.34
4079.54,-0.44
4084.00,-0.86
4088.46,-0.67
4092.92,-0.31
4097.38,-0.25
4101.84,0.18
4106.30,0.21
4110.75,0.55
4115.21,0.22
4119.67,0.40
4124.13,-0.12
4128.59,0.00
4133.05,0.29
4137.51,-0.22
4141.96,-0.36
4146.42,0.14
4150.88,-0.06
4155.34,-0.23
4159.80,-0.22
4164.26,-0.23
4168.72,-0.37
4173.17,0.03
4177.63,-0.24
4182.09,-0.03
4186.55,-0.27
4191.01,0.10
4195.47,0.04
4199.92,-0.37
4204.38,-0.32
4208.84,-0.37
4213.30,-0.09
4217.76,-0.03
4222.22,0.04
4226.68,-0.14
4231.13,-0.11
4235.59,-0.29
4240.05,-0.36
4244.51,-0.43
4248.97,-0.51
4253.43,-0.26
4257.89,-0.24
4262.34,-0.55
4266.80,-0.48
4271.26,-0.52
4275.72,-1.00
4280.18,-0.75
4284.64,-0.81
4289.10,-0.52
4293.55,-1.01
4298.01,-0.78
4302.47,-0.16
4306.93,0.41
4311.39,0.97
4315.85,1.71
4320.31,1.35
4324.76,0.99
4329.22,0.54
4333.68,0.20
4338.14,0.06
4342.60,0.00
4347.06,0.35
4351.51,0.12
4355.97,0.66
4360.43,0.81
4364.89,1.03
4369.35,1.43
4373.81,1.72
4378.27,2.09
4382.72,2.48
4387.18,2.50
4391.64,3.03
4396.10,2.87
4400.56,2.40
4405.02,1.90
4409.48,2.73
4413.93,3.76
4418.39,4.16
4422.85,4.21
4427.31,5.11
4431.77,5.57
4436.23,5.74
4440.69,6.05
4445.14,5.97
4449.60,5.98
4454.06,6.45
4458.52,6.40
4462.98,6.80
4467.44,7.13
4471.89,7.73
4476.35,8.37
4480.81,8.74
4485.27,9.01
4489.73,9.81
4494.19,10.53
4498.65,11.02
4503.10,11.84
4507.56,13.04
4512.02,15.03
4516.48,17.07
4520.94,19.48
4525.40,21.53
4529.86,22.73
4534.31,24.06
4538.77,25.85
4543.23,29.61
4547.69,33.20
4552.15,34.77
4556.61,34.99
4561.07,32.77
4565.52,31.18
4569.98,29.21
4574.44,28.22
4578.90,27.27
4583.36,26.45
4587.82,24.60
4592.27,22.35
4596.73,20.59
4601.19,18.15
4605.65,17.15
4610.11,15.75
4614.57,14.40
4619.03,13.23
4623.48,11.98
4627.94,11.85
4632.40,11.10
4636.86,11.01
4641.32,10.66
4645.78,9.85
4650.24,10.00
4654.69,10.22
4659.15,9.95
4663.61,10.30
4668.07,10.05
4672.53,9.94
4676.99,9.88
4681.45,9.93
4685.90,11.53
4690.36,13.60
4694.82,14.48
4699.28,15.97
4703.74,17.40
4708.20,17.63
4712.65,15.39
4717.11,12.66
4721.57,10.13
4726.03,10.01
4730.49,9.65
4734.95,8.82
4739.41,8.52
4743.86,8.05
4748.32,8.21
4752.78,7.77
4757.24,8.06
4761.70,7.83
4766.16,7.95
4770.62,8.44
4775.07,8.23
4779.53,8.62
4783.99,9.34
4788.45,10.33
4792.91,10.96
4797.37,12.33
4801.83,13.11
4806.28,12.67
4810.74,11.73
4815.20,11.74
4819.66,10.89
4824.12,10.27
4828.58,9.09
4833.03,8.43
4837.49,7.49
4841.95,6.90
4846.41,5.90
4850.87,4.68
4855.33,3.85
4859.79,3.23
4864.24,3.17
4868.70,3.45
4873.16,3.30
4877.62,3.09
4882.08,3.44
4886.54,3.27
4891.00,3.38
4895.45,3.18
4899.91,3.33
4904.37,3.17
4908.83,2.92
4913.29,2.88
4917.75,2.73
4922.21,2.66
4926.66,2.19
4931.12,2.35
4935.58,2.68
4940.04,2.50
4944.50,1.82
4948.96,1.72
4953.41,1.07
4957.87,1.00
4962.33,0.63
4966.79,0.50
4971.25,-0.15
4975.71,-0.11
4980.17,0.16
4984.62,0.52
4989.08,-0.04
4993.54,-0.36
4998.00,-0.37
5002.46,-0.85
5006.92,-0.80
5011.38,-0.84
5015.83,-0.79
5020.29,-0.49
5024.75,-0.64
5029.21,-0.36
5033.67,-0.11
5038.13,-0.03
5042.59,-0.32
5047.04,-0.23
5051.50,-0.35
5055.96,-0.19
5060.42,-0.36
5064.88,-0.03
5069.34,-0.16
5073.79,-0.29
5078.25,-0.02
5082.71,-0.35
5087.17,0.04
5091.63,-0.37
5096.09,0.07
5100.55,-0.03
5105.00,0.10
5109.46,-0.35
5113.92,0.00
5118.38,0.46
5122.84,0.80
5127.30,0.96
5131.76,1.11
5136.21,1.02
5140.67,1.04
5145.13,0.46
5149.59,0.56
5154.05,0.55
5158.51,0.42
5162.97,0.36
5167.42,0.32
5171.88,0.49
5176.34,-0.34
5180.80,-0.57
5185.26,-0.96
5189.72,-0.82
5194.17,-1.09
5198.63,-1.31
5203.09,-1.05
5207.55,-1.30
5212.01,-1.25
5216.47,-0.64
5220.93,-0.69
5225.38,-0.17
5229.84,0.11
5234.30,0.18
5238.76,0.23
5243.22,0.23
5247.68,-0.18
5252.14,-0.53
5256.59,-1.01
5261.05,-0.77
5265.51,-0.78
5269.97,-0.67
5274.43,-0.22
5278.89,0.17
5283.35,0.89
5287.80,-0.10
5292.26,-0.36
5296.72,-0.64
5301.18,0.01
5305.64,0.48
5310.10,0.52
5314.55,-0.14
5319.01,-1.13
5323.47,-1.07
5327.93,-1.03
5332.39,-0.78
5336.85,-0.40
5341.31,0.18
5345.76,0.27
5350.22,-1.13
5354.68,-0.98
5359.14,-0.93
5363.60,-0.90
5368.06,-1.14
5372.52,-1.00
5376.97,-0.90
5381.43,-1.18
5385.89,-1.30
5390.35,-1.07
5394.81,-1.18
5399.27,-1.37
5403.73,-0.85
5408.18,-0.89
5412.64,-0.96
5417.10,-0.91
5421.56,-0.97
5426.02,-1.25
5430.48,-0.92
5434.93,-0.98
5439.39,-1.37
5443.85,-0.83
5448.31,-1.26
5452.77,-1.29
5457.23,-0.85
5461.69,-1.17
5466.14,-0.87
5470.60,-0.83
5475.06,-1.00
5479.52,-0.73
5483.98,-1.08
5488.44,-1.02
5492.90,-0.79
5497.35,-0.52
5501.81,-0.78
5506.27,-0.97
5510.73,-1.06
5515.19,-0.78
5519.65,-1.06
5524.11,-0.97
5528.56,-0.87
5533.02,-0.92
5537.48,-1.05
5541.94,-0.79
5546.40,-0.77
5550.86,-0.76
5555.31,-1.02
5559.77,-0.99
5564.23,-0.81
5568.69,-0.77
5573.15,-0.43
5577.61,-0.59
5582.07,-0.86
5586.52,-0.44
5590.98,-0.61
5595.44,-0.67
5599.90,-0.61
5604.36,-0.35
5608.82,-0.79
5613.28,-0.60
5617.73,-0.60
5622.19,-0.16
5626.65,0.02
5631.11,0.32
5635.57,0.35
5640.03,0.69
5644.49,0.71
5648.94,0.45
5653.40,-0.06
5657.86,-0.11
5662.32,-0.34
5666.78,-0.47
5671.24,-0.06
5675.69,0.21
5680.15,0.54
5684.61,0.98
5689.07,1.12
5693.53,1.00
5697.99,1.20
5702.45,1.03
5706.90,0.98
5711.36,0.73
5715.82,0.99
5720.28,0.93
5724.74,1.27
5729.20,1.18
5733.66,1.38
5738.11,1.73
5742.57,2.22
5747.03,2.09
5751.49,3.02
5755.95,3.57
5760.41,3.73
5764.87,3.72
5769.32,4.14
5773.78,4.09
5778.24,4.77
5782.70,5.37
5787.16,5.93
5791.62,6.57
5796.07,7.24
5800.53,7.61
5804.99,8.06
5809.45,9.00
5813.91,9.53
5818.37,10.24
5822.83,11.03
5827.28,11.54
5831.74,12.54
5836.20,13.28
5840.66,14.24
5845.12,15.12
5849.58,15.54
5854.04,15.56
5858.49,15.06
5862.95,15.00
5867.41,13.89
5871.87,12.93
5876.33,12.22
5880.79,10.88
5885.25,10.28
5889.70,9.42
5894.16,8.48
5898.62,8.14
5903.08,7.69
5907.54,7.37
5912.00,6.70
5916.45,6.31
5920.91,6.18
5925.37,5.83
5929.83,5.44
5934.29,5.39
5938.75,4.82
5943.21,4.42
5947.66,4.64
5952.12,4.42
5956.58,3.72
5961.04,3.53
5965.50,3.26
5969.96,3.08
5974.42,3.95
5978.87,4.44
5983.33,4.97
5987.79,5.54
5992.25,5.62
5996.71,6.11
6001.17,5.82
6005.63,6.17
6010.08,5.84
6014.54,5.91
6019.00,6.50
6023.46,6.56
6027.92,6.91
6032.38,7.44
6036.83,7.84
6041.29,8.28
6045.75,8.47
6050.21,9.12
6054.67,9.54
6059.13,9.25
6063.59,9.18
6068.04,9.22
6072.50,8.98
6076.96,8.77
6081.42,8.41
6085.88,8.85
6090.34,8.59
6094.80,8.31
6099.25,7.88
6103.71,7.02
6108.17,6.70
6112.63,5.66
6117.09,5.25
6121.55,5.26
6126.01,4.72
6130.46,4.91
6134.92,4.69
6139.38,4.33
6143.84,4.13
6148.30,3.47
6152.76,3.87
6157.21,3.80
6161.67,4.09
6166.13,4.24
6170.59,4.36
6175.05,4.63
6179.51,4.77
6183.97,4.85
6188.42,5.00
6192.88,4.74
6197.34,4.92
6201.80,4.94
6206.26,4.62
6210.72,4.17
6215.18,3.84
6219.63,3.18
6224.09,3.03
6228.55,3.00
6233.01,2.52
6237.47,2.62
6241.93,2.61
6246.39,2.08
6250.84,2.30
6255.30,2.18
6259.76,2.36
6264.22,2.39
6268.68,2.27
6273.14,1.60
6277.59,1.51
6282.05,0.97
6286.51,0.77
6290.97,0.94
6295.43,0.66
6299.89,1.06
6304.35,0.94
6308.80,1.33
6313.26,1.35
6317.72,0.41
6322.18,-0.13
6326.64,-0.67
6331.10,-1.13
6335.56,-0.74
6340.01,-1.04
6344.47,-0.86
6348.93,-0.75
6353.39,-0.46
6357.85,-0.28
6362.31,-0.36
6366.77,-0.43
6371.22,-0.14
6375.68,-0.41
6380.14,-0.07
6384.60,-0.45
6389.06,-0.19
6393.52,-0.19
6397.97,-0.05
6402.43,-0.23
6406.89,-0.04
6411.35,0.21
6415.81,0.03
6420.27,0.21
6424.73,-0.31
6429.18,-0.80
6433.64,-0.69
6438.10,-0.22
6442.56,-0.06
6447.02,0.84
6451.48,0.79
6455.94,0.68
6460.39,0.41
6464.85,0.76
6469.31,0.75
6473.77,0.70
6478.23,0.43
6482.69,0.57
6487.15,0.11
6491.60,0.39
6496.06,0.42
6500.52,0.37
6504.98,0.52
6509.44,0.16
6513.90,0.49
6518.35,0.03
6522.81,0.40
6527.27,0.22
6531.73,0.00
6536.19,-0.09
6540.65,-0.16
6545.11,0.00
6549.56,0.06
6554.02,-0.14
6558.48,0.03
6562.94,0.07
6567.40,0.00
6571.86,-0.12
6576.32,-0.09
6580.77,0.14
6585.23,-0.04
6589.69,-0.42
6594.15,-1.16
6598.61,-1.21
6603.07,-1.33
6607.53,-0.64
6611.98,-0.56
6616.44,-0.03
6620.90,-0.01
6625.36,-0.12
6629.82,-0.19
6634.28,-0.37
6638.73,-0.01
6643.19,-0.27
6647.65,-0.47
6652.11,-0.49
6656.57,-0.23
6661.03,-0.75
6665.49,-0.29
6669.94,-0.54
6674.40,-0.65
6678.86,-0.64
6683.32,-0.94
6687.78,-0.66
6692.24,-0.89
6696.70,-0.87
6701.15,-0.87
6705.61,-1.07
6710.07,-1.14
6714.53,-1.09
6718.99,-1.61
6723.45,-1.36
6727.91,-1.55
6732.36,-1.45
6736.82,-2.04
6741.28,-1.76
